Alabama,65663
Alaska,—
Arizona,51408
Arkansas,57251
California,54432
Colorado,83175
Connecticut,113557
Delaware,117928
District of Columbia,40200
Florida,49750
Georgia,45000
Hawaii,165645
Idaho,59618
Illinois,75665
Indiana,65850
Iowa,90736
Kansas,95412
Kentucky,55159
Louisiana,61077
Maine,67870
Maryland,165601
Massachusetts,143620
Michigan,72020
Minnesota,128514
Mississippi,33941
Missouri,76630
Montana,—
Nebraska,90516
Nevada,—
New Hampshire,122823
New Jersey,133303
New Mexico,—
New York,57654
North Carolina,61842
North Dakota,75520
Ohio,63002
Oklahoma,50843
Oregon,89549
Pennsylvania,93000
Rhode Island,124025
South Carolina,70441
South Dakota,119939
Tennessee,66274
Texas,44612
Utah,103284
Vermont,—
Virginia,135245
Washington,90704
West Virginia,111158
Wisconsin,93496
Wyoming,109494